company,dep_date,arr_date,das,trip,drag,drag_all,drag_date,drag_period,drag_time_s,drag_time_e,time_fished_min,hrs_dec,depth,depth_sd,id_status,com_status,order,family,class,total_catch_cat,total_catch_spp,categories,sci_name,alpha_code,com_name,sample_wt_lbs,total_wt_lbs,cpue
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Myliobatiformes,Dasyatidae,Elasmobranchii,Discarded catch,Bycatch species,Flat fish,Dasyatis guttata,RDU,Longnose stingray,5.2,5.2,1.3
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Stomatopoda,Squillidae,Malacostraca,Discarded catch,Bycatch species,Shell fish,Squilla mantis,MTS,Mantis shrimp,0.4,1.11,0.2775
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Perciformes,Carangidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Selene brownii,LNW,Moonfish,0,0.01,0.0025
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,Yes,Batrachoidiformes,Batrachoididae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Batrachoides surinamensis,TFB,Pacu,0.01,0.02,0.005
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,Yes,Not applicable,Not applicable,Not applicable,Incidental catch,Bycatch species,Shell fish,Multiple species prawns,Not applicable,Prawns,0,1,0.25
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Clupeiformes,Clupeidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Harengula jaguana,HCG,Scaled herring,0.3,0.83,0.2075
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,Yes,Perciformes,Ephippidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Chaetodipterus faber,HRF,Sea donkey,0.5,0.5,0.125
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,Yes,Decapoda,Penaeidae,Malacostraca,Target catch,Target species,Shell fish,Xiphopenaeus kroyeri,BOB,Seabob,0,320,80
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Cynoscion virescens,YNV,Seatrout,13,36.16,9.04
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Rajiformes,Dasyatidae,Elasmobranchii,Discarded catch,Bycatch species,Flat fish,Dasyatis geijskesi,RDJ,Sharpsnout stingray,6.2,6.2,1.55
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,Yes,Decapoda,Portunidae,Malacostraca,Discarded catch,Bycatch species,Shell fish,Callinectes ornatus,KLO,Sheriga crab,0.5,1.39,0.3475
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Anguilliformes,Ophichthidae,Actinopterygii,Discarded catch,Bycatch species,Other,Ophichthus gomesii,OOG,Shrimp eel,0.4,1.11,0.2775
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Perciformes,Trichiuridae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Trichiurus lepturus,LHT,Silverbelt,0.04,0.11,0.0275
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Decapoda,Leucosiidae,Malacostraca,Discarded catch,Bycatch species,Shell fish,Persephona lichtensteinii,NA,Siri ball,0.4,1.11,0.2775
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Teuthida,Loliginidae,Cephalopoda,Discarded catch,Bycatch species,Other,Lolliguncula brevis,IUB,Squid,0,0.01,0.0025
NHS,14/02/2019,24/02/2019,11,1,3,3,16/02/2019,Day,9:45:00 am,1:45:00 pm,4:00,4,10,Deep,Yes,No,Pleuronectiformes,Cynoglossidae,Actinopterygii,Discarded catch,Bycatch species,Flat fish,Symphurus plagusia,YFS,Tongue fish,0.05,0.14,0.035
NHS,14/02/2019,24/02/2019,11,1,4,4,17/02/2019,Day,7:30:00 am,11:30:00 am,4:00,4,9,Shallow,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Paralonchurus brasiliensis,RLB,Banded croaker,1.2,4.72,1.18
NHS,14/02/2019,24/02/2019,11,1,4,4,17/02/2019,Day,7:30:00 am,11:30:00 am,4:00,4,9,Shallow,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Macrodon ancylodon,WKK,Bangamary,8,31.48,7.87
NHS,14/02/2019,24/02/2019,11,1,4,4,17/02/2019,Day,7:30:00 am,11:30:00 am,4:00,4,9,Shallow,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Micropogonias furnieri,CKM,Bashaw,2.2,8.66,2.165
NHS,14/02/2019,24/02/2019,11,1,4,4,17/02/2019,Day,7:30:00 am,11:30:00 am,4:00,4,9,Shallow,Yes,No,Decapoda,Malacostraca,Malacostraca,Discarded catch,Bycatch species,Shell fish,Hepatus gronovii,HGV,Box crab,1.2,4.72,1.18
NHS,14/02/2019,24/02/2019,11,1,4,4,17/02/2019,Day,7:30:00 am,11:30:00 am,4:00,4,9,Shallow,Yes,Yes,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Nebris microps,NBM,Butterfish,10,39.35,9.8375
NHS,14/02/2019,24/02/2019,11,1,4,4,17/02/2019,Day,7:30:00 am,11:30:00 am,4:00,4,9,Shallow,Yes,Yes,Siluriformes,Ariidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Bagre bagre,BEB,Catfish,12,47.22,11.805
NHS,14/02/2019,24/02/2019,11,1,4,4,17/02/2019,Day,7:30:00 am,11:30:00 am,4:00,4,9,Shallow,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Stellifer microps,EFM,Croaker lm,5,19.67,4.9175
NHS,14/02/2019,24/02/2019,11,1,4,4,17/02/2019,Day,7:30:00 am,11:30:00 am,4:00,4,9,Shallow,Yes,No,Perciformes,Sciaenidae,Actinopterygii,Discarded catch,Bycatch species,Bony fish,Stellifer rastrifer,EFR,Croaker rm,22,86.56,21.64
NHS,14/02/2019,24/02/2019,11,1,4,4,17/02/2019,Day,7:30:00 am,11:30:00 am,4:00,4,9,Shallow,Yes,No,Pleuronectiformes,Achiridae,Actinopterygii,Discarded catch,Bycatch species,Flat fish,Achirus achirus,HIK,Drab sole,0.01,0.05,0.0125
NHS,14/02/2019,24/02/2019,11,1,4,4,17/02/2019,Day,7:30:00 am,11:30:00 am,4:00,4,9,Shallow,Yes,Yes,Not applicable,Not applicable,Not applicable,Incidental catch,Bycatch species,Bony fish,Multiple species finfish,Not applicable,Finfish,0,10.83,2.7075
NHS,14/02/2019,24/02/2019,11,1,4,4,17/02/2019,Day,7:30:00 am,11:30:00 am,4:00,4,9,Shallow,Yes,No,Unknown,Unknown,Unknown,Discarded catch,Bycatch species,Other,Scyphozoa sp.,NA,Jelly fish,0.9,3.54,0.885
